po_number,po_date,vendor_id,sku,description,uom,qty,rate,po_value,plant
PO/2026/1603,2025-11-19,V-1025,CP-107,10 HP Process Centrifugal Pump,Nos,16,54014.01,864224.16,Coimbatore
PO/2026/1604,2026-04-06,FTV-1050,CP-165,10 HP Process Centrifugal Pump,Nos,4,51471.31,205885.24,Coimbatore
PO/2026/1605,2025-05-12,V-1007,SM-103,5 HP Dewatering Submersible Pump,Nos,4,58024.52,232098.08,Coimbatore
PO/2026/1606,2025-09-11,V-1012,CP-125,0.5 HP Monoblock Centrifugal Pump,Nos,4,148843.67,595374.68,Vadodara
PO/2026/1607,2025-08-17,V-1022,GV-135,"8"" SS Class 300 Gate Valve",Nos,7,15037.04,105259.28,Vadodara
PO/2026/1608,2025-09-09,V-1035,GV-126,"2"" CI Class 125 Gate Valve",Nos,8,21315.19,170521.52,Pune-Bhosari
PO/2026/1609,2026-06-15,V-1044,FT-1428,5 HP Dewatering Submersible Pump (FlowTech),Nos,8,68564.43,548515.44,Coimbatore
PO/2026/1610,2025-10-22,V-1044,SM-102,5 HP Dewatering Submersible Pump,Nos,7,20598.16,144187.12,Vadodara
PO/2026/1611,2025-12-22,V-1008,GV-141,"2"" CI Class 125 Gate Valve",Nos,71,15677.65,1113113.15,Vadodara
PO/2026/1612,2025-11-25,V-1039,GV-112,"3"" CI Class 125 Gate Valve",Nos,186,10877.59,2023231.74,Vadodara
PO/2026/1613,2025-04-21,V-1033,BV-118,"6"" Lug Type Butterfly Valve",Nos,67,12294.85,823754.95,Pune-Bhosari
PO/2026/1614,2026-07-18,FTV-1047,SM-134,7.5 HP Sewage Submersible Pump,Nos,7,21032.4,147226.8,Vadodara
PO/2026/1615,2025-08-07,V-1035,SM-114,3 HP Openwell Submersible Pump,Nos,2,55410.87,110821.74,Coimbatore
PO/2026/1616,2026-06-02,V-1007,CP-160,3 HP End-Suction Centrifugal Pump,Nos,5,48887.31,244436.55,Pune-Bhosari
PO/2026/1617,2025-10-15,V-1040,GV-107,"8"" SS Class 300 Gate Valve",Nos,121,9270.93,1121782.53,Pune-Bhosari
PO/2026/1618,2025-05-14,V-1018,CP-117,3 HP End-Suction Centrifugal Pump,Nos,4,49414.76,197659.04,Coimbatore
PO/2026/1619,2025-12-24,V-1012,SM-103,5 HP Dewatering Submersible Pump,Nos,6,57149.96,342899.76,Coimbatore
PO/2026/1620,2026-02-11,V-1044,BV-111,"3"" Wafer Type Butterfly Valve",Nos,111,5007.42,555823.62,Coimbatore
PO/2026/1621,2025-06-28,V-1015,SM-103,5 HP Dewatering Submersible Pump,Nos,10,66447.75,664477.5,Vadodara
PO/2026/1622,2026-06-09,V-1006,BV-109,"4"" Wafer Type Butterfly Valve",Nos,113,22871.26,2584452.38,Coimbatore
PO/2026/1623,2026-02-16,V-1011,BV-115,"4"" Wafer Type Butterfly Valve",Nos,55,14041.22,772267.1,Coimbatore
PO/2026/1624,2026-04-06,V-1027,GV-123,"8"" SS Class 300 Gate Valve",Nos,172,5283.4,908744.8,Vadodara
PO/2026/1625,2025-05-15,V-1003,SM-135,3 HP Openwell Submersible Pump,Nos,14,24833.68,347671.52,Coimbatore
PO/2026/1626,2026-05-22,FTV-1045,SM-124,5 HP Dewatering Submersible Pump,Nos,8,110404.06,883232.48,Pune-Bhosari
PO/2026/1627,2025-04-21,V-1015,BV-106,"3"" Wafer Type Butterfly Valve",Nos,120,13830.95,1659714.0,Coimbatore
PO/2026/1628,2025-05-24,V-1004,FT-1449,3 HP End-Suction Centrifugal Pump (FlowTech),Nos,12,81244.94,974939.28,Coimbatore
PO/2026/1629,2026-03-26,V-1027,BV-128,"3"" Wafer Type Butterfly Valve",Nos,20,1948.14,38962.8,Coimbatore
PO/2026/1630,2025-07-20,V-1023,CP-103,1 HP Monoblock Centrifugal Pump,Nos,20,66025.75,1320515.0,Pune-Bhosari
PO/2026/1631,2025-07-25,V-1019,CP-107,10 HP Process Centrifugal Pump,Nos,11,59550.14,655051.54,Vadodara
PO/2026/1632,2025-05-07,V-1040,CP-152,7.5 HP Split-Case Centrifugal Pump,Nos,18,84336.75,1518061.5,Pune-Bhosari
PO/2026/1633,2025-05-18,V-1029,SP-103,Impeller Kit Spares Kit,Nos,20,5626.37,112527.4,Pune-Bhosari
PO/2026/1634,2026-03-25,V-1032,GV-123,"8"" SS Class 300 Gate Valve",Nos,113,5064.51,572289.63,Pune-Bhosari
PO/2026/1635,2025-11-23,V-1040,CP-149,0.5 HP Monoblock Centrifugal Pump,Nos,12,170494.77,2045937.24,Pune-Bhosari
PO/2026/1636,2026-04-29,FTV-1054,GV-102,"6"" CS Class 150 Gate Valve",Nos,133,19608.08,2607874.64,Vadodara
PO/2026/1637,2025-12-31,FTV-1052,SM-118,1 HP Borewell Submersible Pump,Nos,9,30717.76,276459.84,Pune-Bhosari
PO/2026/1638,2025-06-22,V-1042,FT-1435,15 HP Process Centrifugal Pump (FlowTech),Nos,5,14311.28,71556.4,Pune-Bhosari
PO/2026/1639,2025-07-22,V-1012,SP-107,Gasket Set Spares Kit,Nos,10,203.04,2030.4,Coimbatore
PO/2026/1640,2025-04-04,V-1017,SM-114,3 HP Openwell Submersible Pump,Nos,6,66384.05,398304.3,Pune-Bhosari
PO/2026/1641,2025-05-18,FTV-1045,SM-111,2 HP Borewell Submersible Pump,Nos,3,101382.6,304147.8,Vadodara
PO/2026/1642,2026-03-27,V-1018,SM-116,7.5 HP Sewage Submersible Pump,Nos,6,93566.23,561397.38,Coimbatore
PO/2026/1643,2025-12-13,V-1010,CP-162,1 HP Monoblock Centrifugal Pump,Nos,6,87696.42,526178.52,Vadodara
PO/2026/1644,2026-06-17,V-1004,FT-1428,5 HP Dewatering Submersible Pump (FlowTech),Nos,3,60599.19,181797.57,Coimbatore
PO/2026/1645,2025-08-09,V-1019,BV-111,"3"" Wafer Type Butterfly Valve",Nos,106,5217.48,553052.88,Vadodara
PO/2026/1646,2025-09-23,FTV-1049,BV-125,"3"" Wafer Type Butterfly Valve",Nos,79,23445.25,1852174.75,Coimbatore
PO/2026/1647,2025-04-23,V-1001,SP-122,Mechanical Seal Kit Spares Kit,Nos,30,7394.59,221837.7,Coimbatore
PO/2026/1648,2026-01-24,V-1020,SM-134,7.5 HP Sewage Submersible Pump,Nos,4,18349.52,73398.08,Pune-Bhosari
PO/2026/1649,2025-09-06,V-1033,FT-1407,1 HP Monoblock Centrifugal Pump (FlowTech),Nos,10,83198.82,831988.2,Pune-Bhosari
PO/2026/1650,2025-10-16,FTV-1046,CP-163,1 HP Monoblock Centrifugal Pump,Nos,6,77271.6,463629.6,Vadodara
PO/2026/1651,2026-05-06,V-1026,CP-114,0.5 HP Monoblock Centrifugal Pump,Nos,10,99550.7,995507.0,Pune-Bhosari
PO/2026/1652,2026-02-10,V-1031,FT-1435,15 HP Process Centrifugal Pump (FlowTech),Nos,18,14025.43,252457.74,Vadodara
PO/2026/1653,2026-03-28,V-1025,CP-114,0.5 HP Monoblock Centrifugal Pump,Nos,14,101725.7,1424159.8,Vadodara
PO/2026/1654,2026-07-01,V-1013,SM-127,5 HP Dewatering Submersible Pump,Nos,2,70325.83,140651.66,Vadodara
PO/2026/1655,2026-04-27,V-1037,CP-137,5 HP End-Suction Centrifugal Pump,Nos,4,147027.78,588111.12,Vadodara
PO/2026/1656,2025-08-12,V-1002,CP-152,7.5 HP Split-Case Centrifugal Pump,Nos,3,83968.39,251905.17,Vadodara
PO/2026/1657,2026-03-12,V-1017,BV-118,"6"" Lug Type Butterfly Valve",Nos,97,13556.55,1314985.35,Vadodara
PO/2026/1658,2026-05-17,V-1007,GV-135,"8"" SS Class 300 Gate Valve",Nos,79,13440.99,1061838.21,Coimbatore
PO/2026/1659,2025-08-11,V-1026,BV-115,"4"" Wafer Type Butterfly Valve",Nos,80,12629.72,1010377.6,Vadodara
